title;album;year;lyrics
Junkie (Cuando Pasara);;;"Lady Love, are you sad today?
Come and sway with me over here
Sorry sunlight jaded forever, I don't like it cold in the summer
No need for the wasteland of the pain anymore
My hands embrace the air every time I look at you
One last chance and we can burn the morrow
One last chance before tomorrow
I don't care where we go
I don't care what we do
Doesn't matter who we are
'Cause all we have is the broken calm of the sea
It's time to let things go
It's time to just be free
Junkie, come on now junkie
I'd like to find a way to kill the pain for you
Junkie, you are the cry of pain
I know that someday love and death will make you new
Lady Love, arose horizon, while we've been gone She holds my hand
I just want to mourn this forever, wanna sleep in love wherever
No need for the wasteland of the wounded sea
One last chance and we will burn the sorrow
One last chance before tomorrow
Junkie, come on now junkie
I'd like to find a way to kill the pain for you
Junkie, you are the cry of pain
I know that someday love and death will make you new
Junkie, come on now junkie
I'd like to find a way to kill the pain for you
Junkie, you are the cry of pain
I know that someday love and death will make you new"
California;Mad Love;;"You said
You'd always be around
Lately I see you above the clouds
You said I'm always playing games
And nothing's the same anymore
My, you are
You'll always be
The girl who loves a man, the way a man should be

I can' believe
What I've seen
'Cause I believe in you
My California girl
You remind me of all the things that were
It doesn't matter anymore
'Cause now you're a movie star

Tell all the people that you've moved on
Tell them that you were loved before by me
We don't understand each other any more
You're always on my mind

I can' believe
What I've seen
'Cause I believe in you
My California girl

She, she
I know she loves
Oh, she
She's just a little crazy
'Cause you're my
You'll always be
You'll always send a man away
Step all over me

Tell all the people that you've moved on
Tell them that you were loved before by me
We don't understand each other any more
You're always on my mind
(repeat 2X)"
Blanca Mujer;Vagabundo;;"New Orleans
A primeros de abril
En el noventa y cuatro
El está condenado a morir
Por amar demasiado
Si quisieras ahora venir
Y acabar de una vez con mi vida
Yo te lo pido blanca mujer
Que me lleves a tu eterna guarida
Tengo tantas ganas de ti
Pero no puedo llevarte ahora
Te toca todavía vivir
Porque aun no te ha llegado la hora
So una foto virtual
De su amor enlutado
El esta condenado a morir
Por amar demasiado
Si quisieras ahora venir
Y acabar de una vez con mi vida
Yo te lo pido mi blanca mujer
Que me lleves a tu eterna guarida
Tengo tantas ganas de ti
Pero no puedo llevarte ahora
Te toca todavía vivir
Porque aun no te ha llegado la hora
Nadie quiere nada de mi
Y tu quieres que te quite la vida
Pero yo no soy dueña de mi
Solo espero la campana de arriba
Tengo tantas ganas de ti
Pero no puedo llevarte ahora
Te toca todavía vivir
Porque aun no te ha llegado la hora
En un día de primeros de abril
Hay un hombre esperando a morir"
Esto es vida;Vida;;"[Letra de ""Esto es vida"" feat. Juan Luis Guerra]

Besar tus ojos oscuros
Dejar atrás las heridas
Dormir, dormir pegado a tu pecho
Esto es vida
Cerrar mi mano en tu mano
Y beber tu dulce saliva
Meter mi cuerpo
Meter mi cuerpo en tu cuerpo
Esto es vida

Vamos a hacer nuestra casa en el cielo
En el cielo de alguna selva
Cultivar amor en rama
Y plantar plantar estrellas
Beber amor cada noche
Y comer amor cada día
Esto es vida… esto es vida
Quemar el tiempo pasado
Dejarlo todo en la huida
Estar desnudos de todo
Esto es vida uuuu
Esto es vida

Y vamos a hacer nuestra casa
En el cielo de alguna selva
Cultivar a mor en rama
Y plantar estrellas
Beber amor cada noche
Y comer amor cada día
Esto es vida (x2)

Esto es vida (x2)"
La Flor Del Frio;Vagabundo;;"""dile que no tengo otra canción
Pero, dile que no tengo otra canción
Que se deje de cosas
Que la canción que voy a cantar esta noche
Es la de todas las noches
La de siempre, la flor del frío""
Noche en Londres, besos furtivos
Tal vez, sois como niños
Tal vez, ya descubrís, juegos prohibidos
Y hartos de la luna, sentís
Por vez primera soledad
Buscáis la flor del frío
Voláis lejos de aqui
Soñáis, hurgando en el dolor
Soñáis
En esa casa de Camden Town
Viven dos clandestinos al acecho del amor
-!son esos dos!
Señalaban los gobiernos
Con la misma mano del crimen
Que hoy os da el perdón
Vuestros versos ya no importan
Y no importa quién fue quién
Una lápida al escándalo
Y esa sórdida pared en Camden Town
Lejos de aqui
Soñáis huyendo del dolor
Y lloráis con la flor del frio"
Commitment #4;Mad Love;;"You're not the color of fresh snow buried under the trees
But your skin, your skin reminds me of a forest without leaves
I fantisized my true divide
We don't need to run tonight -- the pain I seize
True, true, true, true disbelieving from far away. You'll inhabit the heart
I wait... I wait another 18 hours and knock again
I wait 18 hours and knock again
The echo voices come from within
After hearing this I ran away, thinking to myself:
I'll come another day
I wait another 18 hours and try
This time around the ocean has seen the truth
The truth is I'm breaking down, thinking to myself:
Could this be truth?
We don't need to run tonight. The pain I seize
Fear in my life... stay away
This time the sound of the ocean sings
I tremble in confusion, I wake up
I think to myself: Could this be true?
Seconds went by and I noticed you
Don't give up, get closer
As fast as I can when I came to the following night I was inside
Fear in my life again (why?)
I ran as fast as I can. When I came to
The following night I was inside, feeling my life
I wait 18 hours and knock again
The echo voices comes from within;
After hearing this I ran away
Fear in my life, I'll come another day
I wait 18 hours and knock again
The echo voices come from within;
A fter hearing this I ran away, thinking to myself: I'll come another day
I wait 18 hours and knock again
The echo voices come from within;
After hearing this I ran away, thinking to myself: I'll come another day..."
Nymph;;;"Within the delicate purity of love
I find the wild gardens of swoon
I've slowly become a love comforter
All our fears, sorry world
Did you find love yesterday
Did you finally find another man to make your day
Spooning the butterflies I would die for you
Doesn't matter where we go
'Cause pain is all the same
And so I'm caught up by happyland
Draw up into detour land
Far beyond the forbidden flurries
Of disarray, disarray
Did you find love yesterday
Did you finally find another man to make you pray
Spooning the butterflies I would die for you
Doesn't matter where we go
'Cause pain is all the same
Spooning the butterflies I would die for you
Doesn't matter where we go
'Cause pain is all the same
I would die for you"
Songbirds & Roosters;;;"Nothing below, but the sky
On it's own, nowhere to go this time
I am the desperation of an imaginary day
The sentiment of the other side
I'm prisoned again
On this crazy little word
Memories today, disappear
So many days go by
And nothing is ever clear
I'm here, so care for me
Laugh for me
While I'm here
Smile, just for a while
I'm here, so die with me
Smile with me
While I'm here
Smile, just for a while
Oh, sweet lies yours
Of many mouths
I don't wanna die
Don't really wanna cry
Oh, yeah, well
Songbirds and roosters
Are dancing in my veins
Laughing away in my mind
That will always be an illusion
It's the wicked way of the other side
I'm here so care for me
Laugh for me
While I'm here
Smile, just for a while
Oh, sweet lies, yours
Of many mouths
I'm here so care for me
Die with me, while I'm here
Smile, just for a while
Oh, sweet lies from your
So many mouths, well, oh
Well, oh, well, I don't wanna die
Don't wanna cry, I don't wanna die
I don't wanna die"
Como Me Acuerdo;Mad Love;;"Hoy quiero hablar de ti
De lo que yo te amé
Me dueles tanto, tanto
Que sólo soy viento
Viento llegó, viento pasó y cómo me acuerdo
Sólo por ti viví, gracias a ti
Yo seguiré, viento llegó, viento se fue
Y cómo me acuerdo
Ay, yo te llamo, yo que te llamo
CORO
Donde estés, ven volando a mi lado
Dónde andarás
Dónde andarás, lejos de mí
Quién te dará lo que te di
Quién dormirá abrazado a ti, como yo
Cómo me acuerdo, amor
Como si fuera ayer
Viento llegó, viento pasó, y tú no estás aquí
Ay, viento pasó, y yo, cómo me acuerdo, amor
Ay, yo te llamo, yo que te llamo
Donde estés, ven volando a mi lado
Hey, voy a buscarte por donde estés pa' que
Pa' que vuelvas a mí, así nos volvamos
A enamorar
Ay, yo te llamo, yo que te llamo
Donde estés, ven volando a mi lado
Hey, voy a buscarte por donde estés pa' que
Pa' que vuelvas a mí, y así
Nos volvamos a enamorar"
Cruzando puertas;Frío;;"Voy cruzando puertas tras de ti
Amor, porque quiero yo así
Porque sé que nos buscamos
Voy pisando pasos que ya di

¿Dónde estás? Te busco
Sólo encuentro un lugar de piedra y silencio

Voy cruzando puertas tras de ti
Voy cruzando puertas tras de ti

La oscuridad invita a la experiencia
Amiga y enemiga, es un animal
Que alimentarás hasta el fin

Te busco, sólo encuentro un lugar
De piedra y silencio
Tu cuerpo acecha tras la sombra
Tu cuerpo, laberinto eterno
Encubre peligro y misterio

Voy cruzando puertas tras de ti--¿Dónde estás?
Te busco, sólo encuentro un lugar
De piedra y silencio
Tu cuerpo acecha tras la sombra
Tu cuerp, laberinto eterno
Encubre peligro y misterio
Peligro y misterio

¿Dónde estás? Te busco, sólo encuentro un lugar
De piedra y silencio
Tu cuerpo acecha tras la sombra
Tu cuerpo laberinto eterno
Encubre peligro y misterio
Peligro y misterio

¿Dónde estás? Te busco, sólo encuentro un lugar
De piedra y silencio
Tu cuerpo acecha tras la sombra
Tu cuerpo, laberinto eterno
Encubre peligro y misterio"
Never Know The Truth;Mad Love;;"I never know the truth baby
I never understand you
Precious love
I found you
In these endless days
They are driving me crazy
And I fell in love with you
I took you
But you weren't there for the taking
If I said to you
I understand you
Love is your truth
Love is your truth

I'll never know the truth
If what you gave me was real
Hey, I belong to you in the sunshine
In the sunshine
To hold you in the moonlight
There's endless fire in your bones
You'll kiss and love
And you're catching birds in my room

I never know the truth babe
These endless days without you
Are driving me crazy
But you fill in love
And you felt alone
And you said you were broken
How was I to know?
That you were broke
That we were one
That you were alive
How was it love on our side?
Or was it my misunderstanding?
My misfortune to..?

I'll never know the truth
I'll never understand you
That's why still today I'm caught up in you

I'll never know the truth
I'll never understand you
That's why still today I'm caught up in you

I never knew the truth babe
Never knew what you gave me was real love

I'll never know the truth
I'll never understand you
That's why still today I'm caught up in you

I never know the truth baby
I never understand you
Precious love
I found you

Love is your truth
Love is your truth

I could have sworn love was on your side"
