track_name;track_duration;track_number;feature_duration;feature_loudness;feature_tempo;album_name;release_date;total_tracks
All Along the Watchtower (with Draco Rosa) - Primera Fila [En Vivo];179893;1;179.89333;179.89333;173.037;La Guzmán en Primera Fila;2013-11-26;15
Mi Peor Error - Primera Fila [En Vivo];245400;1;245.4;245.4;181.454;La Guzmán en Primera Fila;2013-11-26;15
Hacer el Amor Con Otro - Primera Fila [En Vivo];317653;1;317.65332;317.65332;131.716;La Guzmán en Primera Fila;2013-11-26;15
Mírala, Míralo - Primera Fila [En Vivo];271960;1;271.96;271.96;126.996;La Guzmán en Primera Fila;2013-11-26;15
Libre - Primera Fila [En Vivo];296480;1;296.48;296.48;145.947;La Guzmán en Primera Fila;2013-11-26;15
Amor Inmortal - Ballad Version;238986;1;238.98666;238.98666;137.981;Gabriel Soundtrack;2008-12-09;12
Esta Soledad;189773;1;189.77333;189.77333;75.979;Gabriel Soundtrack;2008-12-09;12
Me Muero;189546;1;189.54668;189.54668;170.045;Gabriel Soundtrack;2008-12-09;12
Yo Soy Tu Dueño;177773;1;177.77333;177.77333;89.995;Gabriel Soundtrack;2008-12-09;12
Abrázame;230133;1;230.13333;230.13333;150.676;Gabriel Soundtrack;2008-12-09;12
La Hormiga Brava;225826;1;225.82668;225.82668;90.01;Gabriel Soundtrack;2008-12-09;12
Perdonar Es Divino;316866;1;316.86667;316.86667;99.829;Gabriel Soundtrack;2008-12-09;12
Heaven Can Wait;182066;1;182.06667;182.06667;133.773;Gabriel Soundtrack;2008-12-09;12
Cartas De Amor;217640;1;217.64;217.64;111.048;Gabriel Soundtrack;2008-12-09;12
Conteo Regresivo - Salsa Version;266840;1;266.84;266.84;164.005;Gabriel Soundtrack;2008-12-09;12
Sobrenatural;179960;1;179.96;179.96;89.99;Gabriel Soundtrack;2008-12-09;12
Amor Inmortal - Tropical Remix;238373;1;238.37334;238.37334;172.129;Gabriel Soundtrack;2008-12-09;12
